word,score,tier,com_available,ai_available,available_domains
tuplo,10,invented,,yes,tuplo.ai
zeoli,10,invented,,yes,zeoli.ai
stomi,10,invented,,yes,stomi.ai
linta,10,invented,,yes,linta.ai
lepta,10,invented,,yes,lepta.ai
runla,10,invented,,yes,runla.ai
runke,10,invented,,yes,runke.ai
runua,10,invented,,yes,runua.ai
runra,10,invented,,yes,runra.ai
runma,10,invented,,yes,runma.ai
runre,10,invented,,yes,runre.ai
fermia,10,invented,,yes,fermia.ai
phenia,10,invented,,yes,phenia.ai
loessa,10,invented,,yes,loessa.ai
cirqua,10,invented,,yes,cirqua.ai
didone,10,invented,,yes,didone.ai
runhia,10,invented,yes,yes,runhia.com runhia.ai
runeya,10,invented,,yes,runeya.ai
runtio,10,invented,,yes,runtio.ai
runene,10,invented,,yes,runene.ai
runate,10,invented,,yes,runate.ai
runere,10,invented,,yes,runere.ai
runeua,10,invented,yes,yes,runeua.com runeua.ai
runete,10,invented,yes,yes,runete.com runete.ai
runria,10,invented,yes,yes,runria.com runria.ai
runeke,10,invented,yes,yes,runeke.com runeke.ai
dianaa,10,invented,,yes,dianaa.ai
mudrao,10,invented,,yes,mudrao.ai
pranao,10,invented,,yes,pranao.ai
causao,10,invented,,yes,causao.ai
